feature,importance
cat__Condition_Cesarean section,9.347504233765287e-05
cat__care_plan_following_discharge_Follow-up Cardiology; Cardiac Rehab; Home Health,9.214605512121069e-05
cat__uniquepid_008-10823,9.207240339238457e-05
cat__Condition_Spinal/face trauma,9.055218348670323e-05
cat__uniquepid_003-16423,9.019356808144852e-05
cat__uniquepid_007-11567,8.963752004690045e-05
cat__care_plan_following_discharge_Speech Therapy; Physical Therapy,8.764558388192892e-05
"cat__Condition_Encephalopathy, hepatic",8.684079570853423e-05
cat__care_plan_following_discharge_PCP Follow-up; Lifestyle Counseling,8.554626896373609e-05
cat__Condition_GI obstruction,8.515123213266944e-05
"cat__Condition_ARDS-adult respiratory distress syndrome, non-cardiogenic pulmonary edema",8.496702879071115e-05
cat__care_plan_following_discharge_Follow-up Neurology,8.465442022952989e-05
cat__care_plan_following_discharge_Dialysis Schedule; Fluid Management; Nephrology Follow-up,8.34959123737814e-05
"cat__Condition_Graft, all other bypass (except renal)",8.114284246324541e-05
cat__uniquepid_007-10474,8.071737539069133e-05
cat__care_plan_following_discharge_Smoking Cessation; Home O2 Therapy; Follow-up Pulmonology,8.059880459860019e-05
cat__care_plan_following_discharge_Cardiac Rehab; Follow-up Cardiology,7.929613539114012e-05
"cat__Condition_Hypertension, uncontrolled (for cerebrovascular accident-see Neurological System)",7.835073075373054e-05
cat__Condition_Emphysema/bronchitis,7.834183420787623e-05
cat__Condition_Pancreatitis,7.597846807557987e-05
"cat__Condition_Aneurysm, thoracic aortic; with dissection",7.519847524549441e-05
cat__uniquepid_003-13187,7.423407710564909e-05
cat__uniquepid_007-10152,7.321949664970558e-05
"cat__Condition_Coma/change in level of consciousness (for hepatic see GI, for diabetic see Endocrine, if related to cardiac arrest, see CV)",7.272201321665394e-05
cat__care_plan_following_discharge_Home Glucose Monitoring; Endocrinology Follow-up; Diabetes Education,7.197588398757846e-05
cat__Condition_Renal bleeding,7.188233434260471e-05
"cat__Condition_Esophageal surgery, other",7.117853164775281e-05
cat__uniquepid_002-11812,7.09097874120214e-05
cat__uniquepid_002-14002,7.0804186179396e-05
